HOSPITALIZ
""
chi-squared test
""
var,chi2,p,dof
HOSPITALIZ,14643.051774026202,0.0,12
table
""
observed quantities
""
binary_pred,0.0,1.0
0,108066,5273
1,27877,1636
2,130301,10570
3,104946,6729
4,118379,4325
5,28587,2782
6,81876,3735
7,433150,18667
8,64833,8181
9,61238,2861
10,36868,4914
11,208393,7705
12,49762,3246
table
""
percentage by columns
""
binary_pred,0.0,1.0
0,0.07430914076832733,0.0654023615796785
1,0.01916898855512984,0.02029172454852153
2,0.08959853562872522,0.13110240127009326
3,0.07216374333345252,0.08346150029767811
4,0.08140064196892474,0.05364407620559635
5,0.019657203997040452,0.03450585433617781
6,0.05630017960827243,0.04632615598333002
7,0.29784580093462315,0.23153155387973803
8,0.04458094612026878,0.10147102599722167
9,0.042108925678481936,0.03548571145068466
10,0.025351446355437346,0.06094959317324866
11,0.14329673321982897,0.09556707680095257
12,0.034217713831487286,0.04026096447707878
table
""
percentage by index
""
binary_pred,0.0,1.0
0,0.9534758556189837,0.04652414438101624
1,0.9445668010707146,0.0554331989292854
2,0.9249668136096145,0.07503318639038553
3,0.93974479516454,0.06025520483546004
4,0.9647525753031686,0.0352474246968314
5,0.9113137173642768,0.08868628263572316
6,0.9563724287766759,0.043627571223324106
7,0.9586846001810467,0.04131539981895325
8,0.8879529953159668,0.1120470046840332
9,0.95536591834506,0.04463408165494002
10,0.8823895457373989,0.11761045426260112
11,0.964344880563448,0.03565511943655193
12,0.9387639601569574,0.06123603984304256
table
""
expected frequencies
""
binary_pred,0.0,1.0
0,107385.61962603427,5953.3803739657305
1,27962.76473255587,1550.2352674441331
2,133471.4407427194,7399.5592572806045
3,105809.02488761483,5865.975112385172
4,116258.70239364127,6445.29760635872
5,29721.274248485242,1647.7257515147567
6,81114.09384064109,4496.906159358916
7,428084.317865659,23732.682134341
8,69178.77898495016,3835.2210150498404
9,60732.05897713206,3366.9410228679394
10,39587.30851000065,2194.6914899993485
11,204746.97703303146,11351.022966968532
12,50223.63815753469,2784.3618424653073
