CS_ESCOL_N
""
chi-squared test
""
var,chi2,p,dof
CS_ESCOL_N,205321.4323796889,0.0,132
table
""
observed quantities
""
binary_pred,0.0,1.0,10.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,nan
0,921,5699,1767,3536,10544,5861,10654,27172,4061,7851,24461,10812
1,298,1862,906,1099,2620,1546,2526,6363,937,1645,6514,3197
2,777,6182,8326,3665,11679,6420,10924,25790,3456,6028,40313,17311
3,508,4457,24330,2403,6675,3385,4831,13347,1584,4565,34526,11064
4,949,6119,2458,3690,10589,6026,10401,27330,3822,8466,29834,13020
5,287,1830,835,1064,2813,1773,2645,7284,991,2360,5926,3561
6,608,4267,3621,2528,6504,3982,6809,15618,2039,4057,23928,11650
7,1984,16889,24068,10084,31021,18215,28471,70631,8391,17038,170473,54552
8,302,2960,21237,1524,4291,1864,2916,6614,809,1516,21969,7012
9,170,1196,13858,779,2047,1134,1593,4494,513,1168,30046,7101
10,1091,4924,456,2648,3540,2502,1896,6013,504,2201,11530,4477
11,678,6376,18050,3736,11633,6873,11243,26516,2732,5324,98300,24637
12,232,2375,2678,1504,4929,2520,4573,11726,1916,4221,11168,5166
table
""
percentage by columns
""
binary_pred,0.0,1.0,10.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,nan
0,0.10459965928449745,0.08749385900270204,0.014413899991842729,0.0924202822791427,0.09683611149377784,0.09437851242331041,0.10709475080919162,0.10916921791255856,0.127885372382302,0.1181667670078266,0.04805810746029376,0.06229545978336022
1,0.033844406587166385,0.028586342422009334,0.007390488620605269,0.028724516466283323,0.024062083849933417,0.024894929228192784,0.02539152811563901,0.025564689149772196,0.029507164226106126,0.024759181216134858,0.012797944155854363,0.018420142890066837
2,0.08824531516183987,0.09490911323999017,0.06791744840525328,0.0957919498170413,0.10725995316159251,0.10337997777813562,0.10980880963390362,0.10361674260138691,0.10883325460557393,0.09072847682119205,0.07920226017116318,0.09974072366904817
3,0.05769449176604202,0.06842606239253254,0.19846643282486337,0.062807109252483,0.061303209808513566,0.05450797893753724,0.04856154882290264,0.05362437625051226,0.04988190836088805,0.06870860927152318,0.06783264045517773,0.06374740723669048
4,0.10777967064168087,0.09394190616556129,0.020050575087690675,0.09644537375849452,0.09724939155990266,0.09703547446901016,0.10455157716973924,0.10980401610298195,0.12035899858290033,0.127423239012643,0.05861434847186967,0.07501728508873012
5,0.03259511641113004,0.02809506263817244,0.006811322293824945,0.027809722948248825,0.025834596133535382,0.028550264891064558,0.026587724412456524,0.029265000120531303,0.031207683829318218,0.03552077062010837,0.011642710633649517,0.02051740032265499
6,0.06905167518455423,0.06550908867600098,0.029537482665796557,0.06607422895974908,0.059732745557239286,0.06412135070288723,0.06844454273134838,0.06274859581033194,0.06421036057313809,0.061062612883804934,0.04701093149543801,0.06712376123530768
7,0.2253265190232822,0.2592882584131663,0.1963292275063219,0.2635650810245687,0.28489690958350555,0.29331250704497513,0.2861924770310207,0.28377487966958354,0.2642418516769013,0.25644190246839255,0.3349253813449433,0.31431205346854113
8,0.03429869392390687,0.0454433800049128,0.17323598988498246,0.03983272347098798,0.03940855030536805,0.03001561971626866,0.02931183530688969,0.026573134376330868,0.025476302944418203,0.022817579771222157,0.043162117770949415,0.04040101405853883
9,0.019307211811470756,0.018361581920903956,0.11304347826086956,0.020360690015682175,0.01879965100794416,0.0182605755140819,0.016012947065800847,0.018055589036472773,0.01615493623051488,0.01757977122215533,0.059030861238378904,0.040913805024199126
10,0.1239068710959682,0.07559567673790224,0.0037197161269271555,0.06921066387872452,0.03251136520181843,0.04028920629297435,0.01905872419131099,0.024158490626682416,0.015871516296646196,0.03312763395544852,0.022652793386091618,0.025795114081585618
11,0.07700170357751278,0.09788749692950136,0.14723876335753325,0.09764767381076843,0.10683748909399826,0.1106745463036022,0.11301541987495226,0.10653360010928171,0.08603369548102661,0.08013245033112583,0.19312832522574205,0.14195091034800644
12,0.026348665530948324,0.03646217145664456,0.021845174973488864,0.039309984317825404,0.045267943242870916,0.040579056697959776,0.045968114834844497,0.04711166823357359,0.0603369548102661,0.06353100541842263,0.021941578190448497,0.029764922793270338
table
""
percentage by index
""
binary_pred,0.0,1.0,10.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,nan
0,0.008126064285021044,0.05028277997864813,0.015590396950740697,0.0311984400779961,0.09303064258551778,0.051712120276339126,0.09400118229382648,0.23974095412876414,0.03583056141310582,0.06927006590846928,0.21582156186308332,0.09539523023848807
1,0.01009724528174025,0.06309084132416223,0.030698336326364654,0.03723782739809575,0.08877443838308542,0.05238369532070613,0.08558940128079151,0.2155999051265544,0.03174872090265307,0.05573814929014333,0.22071629451428185,0.1083251448514214
2,0.005515684562472049,0.04388412093333617,0.059103719005331116,0.02601671032362942,0.082905637072215,0.0455736098984177,0.07754612375861604,0.18307529583803622,0.024533083459335137,0.042790922191224594,0.28616961617366243,0.12288547678372412
3,0.004548914260129841,0.03991045444369823,0.21786433848220282,0.021517797179314978,0.05977165883143049,0.030311170808148647,0.043259458249384375,0.11951645399597045,0.014184016118200134,0.040877546451757334,0.309164987687486,0.09907320349227669
4,0.007734059199374104,0.049867974964141346,0.020031946798800365,0.03007236927891511,0.0862971052288434,0.04911005346198983,0.08476496283739732,0.22273112530968836,0.03114812883035598,0.0689953057765028,0.2431379580127787,0.10610901030121267
