CS_GESTANT
""
chi-squared test
""
var,chi2,p,dof
CS_GESTANT,52726.03805673145,0.0,84
table
""
observed quantities
""
binary_pred,1.0,2.0,3.0,4.0,5.0,6.0,9.0,nan
0,316,420,292,186,55914,50103,6097,11
1,116,126,98,65,13639,13807,1651,11
2,565,568,443,232,58456,70523,10062,22
3,404,589,645,117,29471,71869,8558,22
4,269,403,352,150,47726,67705,6080,19
5,102,116,81,62,16425,12959,1614,10
6,239,347,237,114,33633,44268,6749,24
7,1057,1365,1080,526,152880,252605,42230,74
8,205,207,178,72,16559,50257,5516,20
9,105,119,165,78,12590,40733,10291,18
10,59,72,65,66,18126,20862,2525,7
11,384,520,410,306,61069,128223,25152,34
12,203,224,191,74,23489,25928,2887,12
table
""
percentage by columns
""
binary_pred,1.0,2.0,3.0,4.0,5.0,6.0,9.0,nan
0,0.07852882703777336,0.08274231678486997,0.06891668633467075,0.0908203125,0.10354885485863287,0.05895566470002659,0.04711309615800698,0.03873239436619718
1,0.02882703777335984,0.024822695035460994,0.023129572810951144,0.03173828125,0.0252584832316932,0.016246549358586656,0.012757704076901678,0.03873239436619718
2,0.1404075546719682,0.11189913317572892,0.10455510974746282,0.11328125,0.10825646277526635,0.08298366049218561,0.07775167681513306,0.07746478873239436
3,0.10039761431411531,0.11603624901497242,0.15223035166391313,0.05712890625,0.05457825055511624,0.084567484308848,0.06612987976385497,0.07746478873239436
4,0.06684890656063618,0.07939322301024429,0.08307764928015104,0.0732421875,0.08838524603825719,0.07966775000529511,0.04698173276048589,0.06690140845070422
5,0.025347912524850896,0.022852639873916468,0.019117299976398393,0.0302734375,0.030417962246540132,0.015248716820303067,0.012471795505826354,0.035211267605633804
6,0.05939363817097416,0.06836091410559496,0.055935803634647153,0.0556640625,0.062285986254970116,0.052089682552756866,0.05215126881587488,0.08450704225352113
7,0.26267395626242546,0.26891252955082745,0.25489733301864526,0.2568359375,0.28312317006094706,0.29723760416642153,0.32632213395975646,0.2605633802816901
8,0.050944333996023855,0.040780141843971635,0.042010856738258204,0.03515625,0.030666120964411448,0.059136874854384694,0.04262355886625661,0.07042253521126761
9,0.026093439363817097,0.023443656422379826,0.0389426481000708,0.0380859375,0.023315807895521477,0.047930085827718565,0.07952121905232899,0.06338028169014084
10,0.014662027833001988,0.014184397163120567,0.015341043190936984,0.0322265625,0.03356809641892155,0.024548092468953054,0.019511328161221524,0.02464788732394366
11,0.09542743538767395,0.1024428684003152,0.09676658012744867,0.1494140625,0.11309555777375703,0.150878633910774,0.19435601026179952,0.11971830985915492
12,0.05044731610337972,0.04412923561859732,0.0450790653764456,0.0361328125,0.043500000925965364,0.030509200533746273,0.022308595802553087,0.04225352112676056
table
""
percentage by index
""
binary_pred,1.0,2.0,3.0,4.0,5.0,6.0,9.0,nan
0,0.002788095889323181,0.003705697068087772,0.002576341771146737,0.0016410944158674419,0.49333415682157067,0.44206319095809915,0.05379436910507416,9.705397083087022e-05
1,0.003930471317724392,0.004269305052010978,0.0033205705960085386,0.0022024192728628063,0.4621353301934741,0.4678277369294887,0.05594144953071528,0.0003727171077152441
2,0.0040107616187859815,0.004032057698177765,0.0031447210568534335,0.0016468968062979606,0.4149612056420413,0.5006211356489271,0.07142705028004344,0.00015617124887308247
3,0.0036176404745914483,0.005274233266174166,0.00577568838146407,0.0010476830087306917,0.26389970897694204,0.6435549585851802,0.0766330870830535,0.00019700022386389077
4,0.0021922675707393403,0.0032843265093232495,0.0028686921371756423,0.0012224540357282567,0.38895227539444516,0.5517750032598774,0.049550136914852,0.0001548441778589125
5,0.003251617839268067,0.0036979183270107433,0.0025821671076540534,0.0019764735885747075,0.5236061079409609,0.4131148586183812,0.051452070515477066,0.0003187860626733399
6,0.0027916973286143134,0.004053217460373083,0.002768335844692855,0.0013316045835231453,0.3928583943652101,0.5170830851175666,0.07883332749296235,0.0002803378070575043
7,0.0023394427389850318,0.0030211346629276897,0.0023903483047339963,0.00116418815582415,0.33836708224790124,0.5590869754790103,0.09346704528603395,0.00016378312458362567
8,0.002807680718766264,0.002835072725778618,0.002437888624099488,0.0009861122524447367,0.22679212205878324,0.6883200482099323,0.07554715534007177,0.000273920070123538
9,0.0016380910778639292,0.0018565032215791199,0.002574143122357603,0.001216867657841776,0.19641492066958924,0.635470132139347,0.1605485264980733,0.00028081561334810214
10,0.0014120913311952516,0.0017232300990857308,0.0015556938394523958,0.0015796275908285865,0.43382317744483273,0.4993059212100905,0.06043272222488153,0.00016753625963333494
11,0.0017769715591999925,0.002406315653083323,0.0018972873418541588,0.0014160242112374942,0.2825986358041259,0.5933557922794288,0.11639163712759952,0.00015733602347083267
12,0.003829610624811349,0.004225777241171144,0.003603229701177181,0.0013960156957440386,0.44312179293691517,0.4891337156655599,0.05446347721098702,0.00022638092363416843
table
""
expected frequencies
""
binary_pred,1.0,2.0,3.0,4.0,5.0,6.0,9.0,nan
0,297.1373613916216,374.8184011987752,312.86555671379244,151.22696722913545,39872.59965014007,62753.431779269005,9555.949356961366,20.97092709622777
1,77.37332204052382,97.60113883640628,81.468878102808,39.37886767867614,10382.657633070557,16340.730305557365,2488.329113297283,5.460741416378918
2,369.31715681803377,465.8682624275197,388.86600234542965,187.96260863899928,49558.34254153365,77997.32385301974,11877.254447846764,26.06512736986123
3,292.7749039025344,369.3154602905727,308.27218385562577,149.00671053488827,39287.20533911004,61832.109811714115,9415.652550654766,20.66303993745521
4,321.6892931135579,405.78897908658547,338.7170812430777,163.72258257866963,43167.20164701284,67938.63624210046,10345.540457358786,22.70371750602645
