CS_RACA
""
chi-squared test
""
var,chi2,p,dof
CS_RACA,79607.41180246272,0.0,72
table
""
observed quantities
""
binary_pred,1.0,2.0,3.0,4.0,5.0,9.0,nan
0,52508,6820,818,41525,428,11240,0
1,13513,1832,208,11294,133,2533,0
2,58579,6880,990,54572,517,19332,1
3,48552,2729,813,32853,224,26503,1
4,56180,6986,868,44049,321,14300,0
5,16060,1303,240,11199,97,2470,0
6,35242,4386,626,33117,295,11945,0
7,161248,17190,3084,166613,1051,102631,0
8,26341,2057,473,27099,175,16869,0
9,17034,1526,412,16740,147,28240,0
10,21672,2482,380,12004,72,5172,0
11,65616,6218,1666,82800,524,59274,0
12,29128,1766,453,16400,120,5139,2
table
""
percentage by columns
""
binary_pred,1.0,2.0,3.0,4.0,5.0,9.0,nan
0,0.08726999549589229,0.10969039002814636,0.07415465506300425,0.07546364024606327,0.10428849902534112,0.036774328639480706,0.0
1,0.022459043367410537,0.029465219139525534,0.018855951409663674,0.0205246563019636,0.032407407407407406,0.008287310893576925,0.0
2,0.09736019399241781,0.11065540812223562,0.08974707642099537,0.09917403432891425,0.1259746588693957,0.06324922786996806,0.25
3,0.08069499545434147,0.043892239646160035,0.07370138700027196,0.059703960818878174,0.05458089668615984,0.08671085693346595,0.25
4,0.0933729783453803,0.11236027342179332,0.07868733569032726,0.08005052111255485,0.07821637426900585,0.046785845155211225,0.0
5,0.026692239804677956,0.02095697627663852,0.021756867011150396,0.02035201221229771,0.023635477582846003,0.00808119143590012,0.0
6,0.058573344657313856,0.07054282267792521,0.05674916145408394,0.06018372965752865,0.07188109161793373,0.03908090352300686,0.0
7,0.26799939502021863,0.2764776839565742,0.2795757410932826,0.30278683906844883,0.2560916179337232,0.3357816835052086,0.0
8,0.043779594563824534,0.033084036992360275,0.04287915873447557,0.04924718090374638,0.042641325536062376,0.05519093859603204,0.0
9,0.028311059329569385,0.024543626859670285,0.03734928836914151,0.03042170590533652,0.035818713450292396,0.09239386483798356,0.0
10,0.03601956544501748,0.03991958182549256,0.03444837276765479,0.021814943708940236,0.017543859649122806,0.016921425954038633,0.0
11,0.10905591575490341,0.10000804181745074,0.15102891850240233,0.1504729539403742,0.1276803118908382,0.19392896403706225,0.0
12,0.04841167876903235,0.02840369923602734,0.04106608648354637,0.02980382179495334,0.029239766081871343,0.01681345861906507,0.5
table
""
percentage by index
""
binary_pred,1.0,2.0,3.0,4.0,5.0,9.0,nan
0,0.4632827182170303,0.06017346191513954,0.007217286194513803,0.3663787398865351,0.003776281774146587,0.09917151201263466,0.0
1,0.4578660251414631,0.062074340121302474,0.00704774167316098,0.38267881950326976,0.004506488666011588,0.08582658489479213,0.0
2,0.41583434489710447,0.048839008738491244,0.007027706199288711,0.3873898815228117,0.003670024348517438,0.1372319356006559,7.0986931305946575e-06
3,0.43476158495634654,0.02443698231475263,0.007280053727333781,0.2941840161182001,0.002005820461159615,0.23732258786657712,8.954555630176852e-06
4,0.4578497848480897,0.05693375929065067,0.007073934020080845,0.3589858521319598,0.002616051636458469,0.11654061807276046,0.0
5,0.5119704166533839,0.04153782396633619,0.007650865504160158,0.3570085115878734,0.0030922248079313973,0.07874015748031496,0.0
6,0.4116527081800236,0.05123173423975891,0.00731214446741657,0.38683113151347376,0.003445818878415157,0.13952646272091204,0.0
7,0.35688785503865506,0.03804637718368278,0.006825772381295967,0.3687621315709679,0.0023261630261809537,0.22715170079921737,0.0
8,0.36076642835620565,0.028172679212205877,0.006478209658421673,0.37114799901388773,0.002396800613580957,0.2310378831456981,0.0
9,0.265745175431754,0.02380692366495577,0.006427557372189894,0.261158520413735,0.0022933275090095007,0.4405684956083558,0.0
10,0.5186922598248049,0.05940357091570533,0.009094825522952467,0.28730075151979323,0.0017232300990857308,0.12378536211765832,0.0
11,0.30364001517829875,0.028773982174754048,0.007709465150070801,0.3831594924524984,0.0024248257734916564,0.2742922192708864,0.0
12,0.5495019619680048,0.03331572592816179,0.008545879867189857,0.30938726230003016,0.0022638092363416844,0.09694763054633262,3.773015393902807e-05
table
""
expected frequencies
""
binary_pred,1.0,2.0,3.0,4.0,5.0,9.0,nan
0,44428.31203791778,4591.082366929441,814.5432985862271,40632.278868330184,303.0446647990097,22569.443398266987,0.2953651703694052
1,11568.946021890677,1195.4985829695745,212.10365691575998,10580.474913675158,78.9115590592221,5876.988353638673,0.07691185093491433
2,55220.7161267835,5706.335543032119,1012.4099296371099,50502.560958368624,376.6594462179947,28051.95088149065,0.3671144699980455
3,43776.03249397355,4523.677845462245,802.5844843312268,40035.73123656264,298.59547853280344,22238.08743240602,0.29102873151345365
4,48099.34444719525,4970.435337807024,881.8475627076682,43989.65180793537,328.08470649553715,24434.316367190044,0.3197706690989641
5,12296.488590136165,1270.6805492214476,225.44233435402958,11245.8549644928,83.87411297152909,6246.577700175907,0.08174864812039873
6,33559.07694507785,3467.889715942407,615.2680572024236,30691.730350511432,228.90582057463027,17047.90600560297,0.22310508827936673
7,177109.96797250636,18301.988386865592,3247.1127285165157,161977.38061437226,1208.0636966577626,89971.30915108476,1.1774499967424588
8,28621.116960062544,2957.61642452277,524.7360961626165,26175.678356896216,195.22409016874064,14539.437795296111,0.19027689100267117
9,25126.48226399114,2596.491839859274,460.66588637696265,22979.631399439702,171.38725389276175,12764.17431233305,0.16704410710795492
10,16378.331673724673,1692.4854062153886,300.2783516841488,14978.93819141312,111.71628640302299,8320.141205290247,0.10888526939865789
11,84709.31784090168,8753.59512020327,1553.0503863443873,77471.60464525376,577.8006332660108,43032.06821551893,0.5631585119551762
